,address,area,balcony,cellar,city,contact_name,district,extra_costs,garden,immo_id,kitchen,lat,lng,media_count,price,private,rooms,sqm,title,url,zip_code
167,,,False,False,München,Eva Müller,Maxvorstadt,,False,107236590,False,,,5,697000.0,False,3.0,74.0,Wohnung in der Maxvorstadt,https://www.immobilienscout24.de/expose/107236590,80335
168,,,True,True,München,Philipp von Saalfeld,Maxvorstadt,,False,107132521,True,,,3,698000.0,False,3.0,74.0,Helle drei Zimmer City Wohnung zentral gelegen nähe Stiglmayerplatz,https://www.immobilienscout24.de/expose/107132521,80335
169,,,True,True,München,"Verena Dyrssen, VK",Maxvorstadt,,False,113913749,False,,,28,895000.0,False,2.5,70.0,"elvirA! Maxvorstadt - traumhaft schöne 2,5-Zimmer-Altbauwohnung",https://www.immobilienscout24.de/expose/113913749,80797
170,,,True,True,München,Anna Krause,Maxvorstadt,,False,113582158,True,,,9,798000.0,False,2.0,75.0,AIGNER - Urbaner Lifestyle in Münchens Trendviertel: City-Loft am Königsplatz!,https://www.immobilienscout24.de/expose/113582158,80335
171,,,True,True,München,Irene Geiger,Schwanthalerhöhe,,False,115088882,True,,,21,765000.0,False,3.0,83.51,Familiengerechte 3 Zimmer Wohnung mit Blick ins Grüne - Schwanthalerhöhe,https://www.immobilienscout24.de/expose/115088882,80339
174,,,False,False,München,,Schwabing-West,,True,114468577,True,,,13,649000.0,False,2.0,76.06,Brück Immobilien - Zur Kapitalanlage - Charmante 2 Zi.-Gartenwohnung mit Süd-West-Terrasse ,https://www.immobilienscout24.de/expose/114468577,80797
175,,,True,False,München,Carola Refäuter,Schwabing-West,,False,115187011,False,,,10,849000.0,False,3.0,82.0,Stilvoll modernisierte Wohnung in ruhiger und sonniger Lage,https://www.immobilienscout24.de/expose/115187011,80797
178,,,True,True,München,Anna Krause,Schwabing-West,,False,110865618,True,,,2,699000.0,False,3.5,99.0,AIGNER - Ihr Familiendomizil in Schwabings Norden: Moderne 3-Zimmer-Wohnung,https://www.immobilienscout24.de/expose/110865618,80809
181,,,True,True,München,Norbert Pitschi,Moosach,,False,114682824,True,,,9,425000.0,False,3.0,60.0,Zwei U-Bahn-Stationen sind ganz nah,https://www.immobilienscout24.de/expose/114682824,80992
182,,,True,False,München,Claudia Varga,Schwabing-West,,False,112052123,True,,,16,269000.0,False,3.0,73.0,"Luitpoldpark: Erbbaurecht- 2,5-Zi.-Wohnung - grandiose Aussicht - 7.OG ",https://www.immobilienscout24.de/expose/112052123,80809
183,,,True,True,München,Friedrich Linecker,Nymphenburg,,False,114853870,True,,,21,949000.0,False,3.5,98.0,Lichtdurchflutete 3 Zi. Dachterrassenwohnung zw. Nymphenburger Schlosspark und Hirschgarten,https://www.immobilienscout24.de/expose/114853870,80639
185,,,True,True,München,Stefan Fürg,Ludwigsvorstadt-Isarvorstadt,,False,114465536,True,,,8,695000.0,False,2.0,73.61,Erstbezug nach Renovierung - 2-Zimmer-Altbau-Dachterrassenwohnung in zentraler Lage von München!,https://www.immobilienscout24.de/expose/114465536,80337
187,,,True,True,München,Dennis Bretzke,Milbertshofen,,False,115137455,True,,,4,565000.0,False,3.0,73.0,SCHÖN HELL & 2 BALKONE IN ZENTRALER LAGE,https://www.immobilienscout24.de/expose/115137455,80809
188,,,True,True,München,,Moosach,,False,115267940,True,,,19,507000.0,False,3.0,78.0,Vermietete 3-Zimmer-Wohnung mit TG-Stellplatz und zwei Balkonen in München-Moosach,https://www.immobilienscout24.de/expose/115267940,80992
189,,,False,True,München,Dennis Bretzke,Nymphenburg,,False,115265636,True,,,5,400000.0,False,4.0,94.0,ERBPACHT! ZAHLE 1 - BEKOMME 2!,https://www.immobilienscout24.de/expose/115265636,80638
193,Strassbergerstr.  34,,True,True,München,Christel Bauer,Milbertshofen,,False,115202529,False,48.18523,11.54928,7,400000.0,False,3.5,105.0,Verkauf erfolgt gegen Gebot! Besichtigung am 24.1. 2020 von 14-16 Uhr.,https://www.immobilienscout24.de/expose/115202529,80809
194,,,False,True,München,Bibiana Sievers,Moosach,,False,114953538,True,,,4,539000.0,False,3.0,65.63,"*** Helle 2-Zimmer Wohnung, praktische Einliegerwohnung, Hobbyraum, 2 TG-Stellplätze in Moosach ***",https://www.immobilienscout24.de/expose/114953538,80992
196,Warschauer Straße 20,,True,True,München,,Moosach,,True,114652516,False,48.17454,11.50488,5,848000.0,False,3.0,88.31,Familienfreundliche 3-Zimmer Penthousewohnung,https://www.immobilienscout24.de/expose/114652516,80992
198,,,True,False,München,Axel Dallmann,Schwabing,,False,114138086,False,,,21,599000.0,False,3.0,72.0,"Attraktiv eingepreiste 2,5 Zimmer-Wohnung in Bestlage von München-Schwabing mit lebenslangem Wohnrec",https://www.immobilienscout24.de/expose/114138086,80802
199,,,True,True,München,Thomas Müller-Groscurth,Sendling-Westpark,,False,115240339,False,,,4,370000.0,False,4.0,107.0,Solide 4-Zimmer-Wohnung am Westpark sucht Kapitalanleger!,https://www.immobilienscout24.de/expose/115240339,81373
200,,,True,True,München,Maria Ciccarese,Sendling,,False,115048742,True,,,22,948000.0,False,4.0,121.4,EIN HIGHLIGHT FÜR KAPITALANLEGER und EIGENNUTZER: 4-Zimmer Whg.(teilbar in 2 Wohnungen)!!,https://www.immobilienscout24.de/expose/115048742,81371
201,,,True,False,München,Florian Konrad,Moosach,,False,115124049,True,,,12,440000.0,False,2.0,69.92,***RESERVIERT*** ALPENBLICK & FRISCH RENOVIERT! BEZUGSFREIE 2-ZI.-WHG. IN MÜNCHEN-MOOSACH,https://www.immobilienscout24.de/expose/115124049,80993
205,,,True,True,München,Benjamin  Renz,Ludwigsvorstadt-Isarvorstadt,,False,114106514,True,,,5,865000.0,False,4.0,110.0,Nießbrauch // Dachterrassenwohnung im Glockenbachviertel zur Kapitalanlage,https://www.immobilienscout24.de/expose/114106514,80469
206,,,False,False,München,Sarah Schumacher,Moosach,,False,115303678,True,,,11,220000.0,False,2.0,64.7,Gemütliche 2-Zimmer-Wohnung in zentraler Lage - Erbpacht,https://www.immobilienscout24.de/expose/115303678,80992
207,,,True,True,München,Laszlo Tarcsay,Schwabing-West,,False,114034334,False,,,13,599000.0,False,2.0,66.0,"Attraktive, hochwertig sanierte 2-Zimmer-Wohnung in hervorragender Stadtlage direkt am „Petuelpark“",https://www.immobilienscout24.de/expose/114034334,80804
209,,,True,False,München,,Sendling-Westpark,,False,115333138,True,,,4,750000.0,False,4.0,94.32,Gute Kapitalanlage - Große 4-Zimmer-Wohnung - Nähe Harras ,https://www.immobilienscout24.de/expose/115333138,81373
210,,,True,True,München,Peter Stumm,Milbertshofen,,True,115311404,True,,,12,693000.0,False,3.0,78.0,E&Co. - Nahe BMW ruhige und gut geschnittene 3 Zimmer-Erdgeschosswohnung mit Süd-Garten,https://www.immobilienscout24.de/expose/115311404,80809
211,,,True,True,München,Dennis Bretzke,Laim,,False,115245744,True,,,5,499000.0,False,3.0,72.0,KAPITALANLAGE IN TOP LAGE MIT BALKON,https://www.immobilienscout24.de/expose/115245744,80689
213,,,True,True,München,Marco Jaeger,Sendling,,False,108794542,False,,,8,575000.0,False,3.0,86.0,MÜNCHEN: FEINER IMMOBILIENWERT IN UNTERSENDLING!,https://www.immobilienscout24.de/expose/108794542,81737
214,,,True,True,München,Christa Santifaller,Milbertshofen,,False,115011588,True,,,13,565000.0,False,3.0,73.0,"3 Zi. Whg mit Westbalkon, nur 5 Gehmin. U-Bahn U2 Frankfurter Ring",https://www.immobilienscout24.de/expose/115011588,80809
215,,,True,True,München,Thomas Bartsch,Pasing,,True,115054678,False,,,8,987000.0,False,3.0,95.65,"Schönes, ruhiges Wohen mitten in der Stadt !  3-Zi-EG-Gartenwohnung W1",https://www.immobilienscout24.de/expose/115054678,80687
227,,,True,True,München,,Feldmoching,,False,114595733,True,,,24,655000.0,False,4.0,94.3,Top Sanierte 4 Zimmer Wohnung zum sofortigen Selbstbezug !!!,https://www.immobilienscout24.de/expose/114595733,80995
231,,,True,True,München,Johann Meier,Haidhausen,,False,115371670,True,,,17,650000.0,False,3.0,86.84,"Au-Haidhausen
3-Zimmer-Wohnung in zentraler Lage",https://www.immobilienscout24.de/expose/115371670,81669
232,,,False,True,München,Jürgen Ruf,Moosach,,False,115303342,True,,,9,620000.0,False,3.0,74.7,Gepflegte 3-Zimmer Dachgeschoss Wohnung mit sonniger Dachterrasse in München/ Moosach,https://www.immobilienscout24.de/expose/115303342,80997
233,,,True,True,München,,Sendling,,False,114950855,True,,,31,668000.0,False,3.0,82.0,Stilvoll renoviert - freie Loftwohnung  in Flaucher Nähe - für Kapitalanleger und Eigenbedarf,https://www.immobilienscout24.de/expose/114950855,81371
235,,,True,True,München,Ulrich Hermann,Untergiesing,,True,115133722,True,,,10,560000.0,False,3.0,75.92,***Untergiesing-Harlaching - Chice 3-Zimmer-Gartenterrassenwohnung***,https://www.immobilienscout24.de/expose/115133722,81543
236,,,True,True,München,Annette Funk,Feldmoching,,False,114807133,True,,,28,478000.0,False,3.0,71.0,Attraktive 3 ZKB Wohnung - mit Südwest-Loggia - idyllisch & ruhig - nahe Lerchenauer See & OEZ,https://www.immobilienscout24.de/expose/114807133,80995
237,Konrad-Celtis-Str. 83,,True,True,München,Uwe Hess,Sendling-Westpark,,False,104360236,False,48.11038,11.52163,13,731500.0,False,3.0,77.33,Blumenzauber: Terrasse mit Südausrichtung,https://www.immobilienscout24.de/expose/104360236,81369
238,,,False,False,München,Florian Maier,Obersendling,,False,115091201,False,,,9,530000.0,False,3.0,92.0,Hegerich: 3-Zimmer-Wohnung in begehrter Lage - vermietet ,https://www.immobilienscout24.de/expose/115091201,81369
241,,,True,True,München,Raiffeisenbank München Süd eG Patrick Csallner,Hadern,,False,114236930,False,,,6,755000.0,False,3.0,81.52,Perfekte Südausrichtung und die U-Bahn vor der Haustür!,https://www.immobilienscout24.de/expose/114236930,81375
242,,,True,True,München,Raiffeisenbank München Süd eG Patrick Csallner,Hadern,,True,114236928,False,,,6,795000.0,False,3.0,85.97,Sonniger Privatgarten in Südausrichtung ,https://www.immobilienscout24.de/expose/114236928,81375
243,,,True,False,München,Raiffeisenbank München Süd eG Patrick Csallner,Hadern,,False,114236927,False,,,8,915000.0,False,3.0,94.62,Traumhaftes Dachgeschoss auf 2 Ebenen in Südausrichtung nahe U-Bahn!,https://www.immobilienscout24.de/expose/114236927,81375
245,,,True,False,München,Thomas Pfeiffer,Hadern,,False,113487051,False,,,17,595000.0,False,3.5,87.0,"Ganz oben und völlig ruhig! 3,5-Zimmer-Wohnung in München-Kleinhadern, die man gesehen haben muss",https://www.immobilienscout24.de/expose/113487051,81375
248,Richard-Strauss-Straße 89,,True,True,München,Anke Dietz,Bogenhausen,,False,111980222,True,48.14833,11.61593,7,649000.0,False,3.0,89.0,3-Zimmer-Wohnung mit Balkon zum ruhigen grünen Innenhof am Effnerplatz ... vermietet!,https://www.immobilienscout24.de/expose/111980222,81679
